fever,cough,fatigue,headache,sore_throat,runny_nose,nausea,body_pain,skin_rash,chills,disease
0,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,0,1,1,1,1,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,1,0,1,0,1,Flu
1,1,1,1,1,0,1,1,0,0,Flu
0,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,0,1,1,1,1,1,0,1,Flu
1,1,0,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,0,0,1,1,0,1,Flu
1,1,1,0,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,0,0,1,Flu
0,1,0,1,1,0,1,1,0,0,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,0,1,0,0,Flu
1,1,1,0,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,1,1,Flu
0,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,0,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,0,1,0,1,Flu
1,0,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,0,1,0,0,1,0,1,Flu
1,0,1,1,1,0,1,0,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,0,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,0,0,1,1,0,1,Flu
0,1,1,1,1,0,1,1,0,1,Flu
0,1,1,1,1,0,0,1,0,0,Flu
1,1,0,0,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,0,1,1,0,1,0,0,1,Flu
1,0,1,1,0,0,1,0,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
0,1,1,1,1,0,1,1,1,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,0,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,0,1,0,1,1,1,0,0,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,0,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,0,0,1,Flu
1,1,1,1,1,0,1,1,1,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,0,1,1,1,1,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,0,Flu
1,1,1,1,1,0,1,1,1,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,0,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,0,1,0,1,Flu
1,1,1,1,0,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,0,1,1,1,0,1,1,0,1,Flu
1,1,1,1,0,0,1,1,0,0,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,0,0,0,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,0,1,1,0,1,1,1,1,Flu
1,1,0,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,0,0,1,Flu
0,1,0,1,1,1,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,0,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,0,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,0,0,1,0,1,0,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
0,1,1,1,1,0,1,1,0,1,Flu
0,1,1,1,1,0,1,1,0,0,Flu
1,1,1,0,1,0,1,1,0,1,Flu
0,1,1,1,0,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,0,0,0,1,Flu
1,1,0,0,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,0,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,1,1,Flu
1,1,1,1,1,0,0,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,0,Flu
1,1,0,1,1,0,1,0,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
0,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,0,1,1,1,0,1,1,0,1,Flu
1,1,0,1,1,0,0,1,0,1,Flu
1,1,1,1,1,0,0,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,0,1,1,1,1,0,1,Flu
1,1,1,1,1,1,1,1,0,1,Flu
1,0,1,0,0,0,1,1,0,0,Flu
1,1,1,1,1,0,1,0,1,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,0,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,0,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,0,1,1,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,1,1,Flu
1,0,1,1,1,0,1,1,0,0,Flu
1,1,1,1,1,0,1,0,0,1,Flu
1,1,1,0,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,0,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,0,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,0,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,0,0,0,1,Flu
1,1,0,1,0,0,1,1,0,1,Flu
1,0,1,1,1,0,1,1,1,0,Flu
1,1,1,1,1,0,1,1,0,0,Flu
1,1,1,0,1,0,1,1,0,0,Flu
1,0,1,0,1,0,1,0,0,1,Flu
1,1,1,1,1,0,1,1,1,1,Flu
0,1,1,1,1,0,1,1,1,1,Flu
1,1,1,1,1,0,1,1,0,1,Flu
1,1,1,1,1,0,0,0,1,1,Flu
1,1,1,1,1,1,1,1,0,1,Flu
0,1,1,0,1,1,0,0,0,0,Cold
1,1,0,0,1,1,0,0,0,1,Cold
0,1,1,0,1,1,0,0,0,1,Cold
0,1,0,0,0,1,0,0,0,1,Cold
0,1,0,0,1,0,1,0,0,0,Cold
0,1,1,0,1,1,0,0,1,0,Cold
0,1,0,0,1,1,0,1,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
1,1,0,0,1,1,0,0,1,0,Cold
0,1,0,1,0,1,0,0,0,0,Cold
0,1,0,0,0,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,0,1,0,1,0,0,Cold
0,0,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,0,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,0,1,0,0,0,0,Cold
0,1,0,0,1,1,1,0,1,0,Cold
0,1,0,0,1,1,1,0,0,0,Cold
0,1,0,0,1,0,0,0,0,0,Cold
0,1,0,0,1,1,0,0,1,0,Cold
1,1,0,0,0,1,1,0,0,1,Cold
0,1,0,0,0,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,1,1,1,0,0,0,0,Cold
0,1,0,1,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,1,0,0,Cold
0,1,1,0,1,1,0,0,1,0,Cold
0,1,1,0,1,1,0,0,0,0,Cold
1,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,1,Cold
0,1,1,0,0,1,1,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,0,0,0,1,1,0,1,0,0,Cold
0,1,0,0,0,1,0,0,1,0,Cold
0,1,0,1,1,1,0,0,0,0,Cold
0,1,1,0,1,1,0,0,0,1,Cold
0,1,0,0,1,0,0,0,0,0,Cold
0,1,0,0,1,1,1,0,0,0,Cold
0,1,1,0,1,1,0,0,1,0,Cold
0,0,1,0,1,0,0,0,0,0,Cold
0,1,0,0,0,1,0,0,0,0,Cold
0,1,0,0,1,1,1,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,0,1,0,0,0,0,Cold
0,1,0,1,1,1,0,0,0,0,Cold
0,1,0,0,0,1,0,0,0,0,Cold
0,1,0,0,1,0,0,0,0,0,Cold
0,1,0,1,1,1,1,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,1,0,1,1,0,0,0,Cold
0,1,0,0,1,1,0,0,1,0,Cold
0,1,0,0,1,1,0,0,0,1,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,1,1,1,1,0,0,0,Cold
0,1,0,0,1,1,1,0,0,0,Cold
0,1,0,0,1,1,0,1,0,0,Cold
0,0,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
1,1,0,0,0,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
1,1,1,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,1,0,0,Cold
1,1,0,0,1,1,0,0,0,0,Cold
0,1,1,1,1,1,0,1,0,1,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,1,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,1,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
1,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,0,0,0,1,1,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,1,0,0,Cold
0,1,0,1,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
1,0,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,1,0,0,0,Cold
0,0,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,0,0,0,0,0,Cold
0,0,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,0,0,1,0,0,Cold
0,1,0,0,1,1,0,0,0,1,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,0,0,0,0,Cold
1,1,1,0,1,1,0,0,0,1,Cold
0,1,0,0,1,1,0,0,0,0,Cold
0,1,0,0,1,0,0,0,0,0,Cold
0,1,0,1,1,1,0,1,0,0,Cold
0,1,1,0,1,1,0,0,0,0,Cold
0,1,0,0,1,1,1,0,0,0,Cold
1,1,0,0,1,1,0,0,0,0,Cold
